J,h2,raw_eta0,calibrated_eta0,calibration_ratio,method,model
250,0.005,20,80.6389735636365,4.03194867818182,collapsed-R,free_b_no_J_no_h2
250,0.005,50,113.577634502224,2.27155269004448,collapsed-R,free_b_no_J_no_h2
250,0.005,100,147.168955493754,1.47168955493754,collapsed-R,free_b_no_J_no_h2
250,0.005,200,190.695127223295,0.953475636116476,collapsed-R,free_b_no_J_no_h2
250,0.005,500,268.588506326045,0.53717701265209,collapsed-R,free_b_no_J_no_h2
250,0.005,1000,348.025296590039,0.348025296590039,collapsed-R,free_b_no_J_no_h2
500,2e-04,20,80.6389735636365,4.03194867818182,collapsed-R,free_b_no_J_no_h2
500,2e-04,50,113.577634502224,2.27155269004448,collapsed-R,free_b_no_J_no_h2
500,2e-04,100,147.168955493754,1.47168955493754,collapsed-R,free_b_no_J_no_h2
500,2e-04,200,190.695127223295,0.953475636116476,collapsed-R,free_b_no_J_no_h2
500,2e-04,500,268.588506326045,0.53717701265209,collapsed-R,free_b_no_J_no_h2
500,2e-04,1000,348.025296590039,0.348025296590039,collapsed-R,free_b_no_J_no_h2
500,0.001,20,80.6389735636365,4.03194867818182,collapsed-R,free_b_no_J_no_h2
500,0.001,50,113.577634502224,2.27155269004448,collapsed-R,free_b_no_J_no_h2
500,0.001,100,147.168955493754,1.47168955493754,collapsed-R,free_b_no_J_no_h2
500,0.001,200,190.695127223295,0.953475636116476,collapsed-R,free_b_no_J_no_h2
500,0.001,500,268.588506326045,0.53717701265209,collapsed-R,free_b_no_J_no_h2
500,0.001,1000,348.025296590039,0.348025296590039,collapsed-R,free_b_no_J_no_h2
500,0.005,20,80.6389735636365,4.03194867818182,collapsed-R,free_b_no_J_no_h2
500,0.005,50,113.577634502224,2.27155269004448,collapsed-R,free_b_no_J_no_h2
500,0.005,100,147.168955493754,1.47168955493754,collapsed-R,free_b_no_J_no_h2
500,0.005,200,190.695127223295,0.953475636116476,collapsed-R,free_b_no_J_no_h2
500,0.005,500,268.588506326045,0.53717701265209,collapsed-R,free_b_no_J_no_h2
500,0.005,1000,348.025296590039,0.348025296590039,collapsed-R,free_b_no_J_no_h2
1000,2e-04,20,80.6389735636365,4.03194867818182,collapsed-R,free_b_no_J_no_h2
1000,2e-04,50,113.577634502224,2.27155269004448,collapsed-R,free_b_no_J_no_h2
1000,2e-04,100,147.168955493754,1.47168955493754,collapsed-R,free_b_no_J_no_h2
1000,2e-04,200,190.695127223295,0.953475636116476,collapsed-R,free_b_no_J_no_h2
1000,2e-04,500,268.588506326045,0.53717701265209,collapsed-R,free_b_no_J_no_h2
1000,2e-04,1000,348.025296590039,0.348025296590039,collapsed-R,free_b_no_J_no_h2
1000,0.001,20,80.6389735636365,4.03194867818182,collapsed-R,free_b_no_J_no_h2
1000,0.001,50,113.577634502224,2.27155269004448,collapsed-R,free_b_no_J_no_h2
1000,0.001,100,147.168955493754,1.47168955493754,collapsed-R,free_b_no_J_no_h2
1000,0.001,200,190.695127223295,0.953475636116476,collapsed-R,free_b_no_J_no_h2
1000,0.001,500,268.588506326045,0.53717701265209,collapsed-R,free_b_no_J_no_h2
1000,0.001,1000,348.025296590039,0.348025296590039,collapsed-R,free_b_no_J_no_h2
1000,0.005,20,80.6389735636365,4.03194867818182,collapsed-R,free_b_no_J_no_h2
1000,0.005,50,113.577634502224,2.27155269004448,collapsed-R,free_b_no_J_no_h2
1000,0.005,100,147.168955493754,1.47168955493754,collapsed-R,free_b_no_J_no_h2
1000,0.005,200,190.695127223295,0.953475636116476,collapsed-R,free_b_no_J_no_h2
1000,0.005,500,268.588506326045,0.53717701265209,collapsed-R,free_b_no_J_no_h2
1000,0.005,1000,348.025296590039,0.348025296590039,collapsed-R,free_b_no_J_no_h2
2000,2e-04,20,80.6389735636365,4.03194867818182,collapsed-R,free_b_no_J_no_h2
2000,2e-04,50,113.577634502224,2.27155269004448,collapsed-R,free_b_no_J_no_h2
2000,2e-04,100,147.168955493754,1.47168955493754,collapsed-R,free_b_no_J_no_h2
2000,2e-04,200,190.695127223295,0.953475636116476,collapsed-R,free_b_no_J_no_h2
2000,2e-04,500,268.588506326045,0.53717701265209,collapsed-R,free_b_no_J_no_h2
2000,2e-04,1000,348.025296590039,0.348025296590039,collapsed-R,free_b_no_J_no_h2
2000,0.001,20,80.6389735636365,4.03194867818182,collapsed-R,free_b_no_J_no_h2
2000,0.001,50,113.577634502224,2.27155269004448,collapsed-R,free_b_no_J_no_h2
2000,0.001,100,147.168955493754,1.47168955493754,collapsed-R,free_b_no_J_no_h2
2000,0.001,200,190.695127223295,0.953475636116476,collapsed-R,free_b_no_J_no_h2
2000,0.001,500,268.588506326045,0.53717701265209,collapsed-R,free_b_no_J_no_h2
2000,0.001,1000,348.025296590039,0.348025296590039,collapsed-R,free_b_no_J_no_h2
2000,0.005,20,80.6389735636365,4.03194867818182,collapsed-R,free_b_no_J_no_h2
2000,0.005,50,113.577634502224,2.27155269004448,collapsed-R,free_b_no_J_no_h2
2000,0.005,100,147.168955493754,1.47168955493754,collapsed-R,free_b_no_J_no_h2
2000,0.005,200,190.695127223295,0.953475636116476,collapsed-R,free_b_no_J_no_h2
2000,0.005,500,268.588506326045,0.53717701265209,collapsed-R,free_b_no_J_no_h2
2000,0.005,1000,348.025296590039,0.348025296590039,collapsed-R,free_b_no_J_no_h2
